SITE_ID,EFFECTIVE_DATE,MILE_MARKER,EXIT_NUMBER,STREET_ADDRESS,STATE,NAME,CITY,LATITUDE,LONGITUDE,OWNERSHIP,DIRECTION_OF_TRAVEL,RELEVANT_HIGHWAY,AMENITY,CAPACITY,ZIPCODE,TIMEZONE
IA00029IS0003700NRA37N000,1970-01-01T00:00:00Z,,,,IA,I-29:  Pacific Junction NB Rest Area,Pacific Junction,41.079968,-95.825478,PU,,," Handicap Accessible , Pet Exercise Area , Phone , Picnic Area , RV Dump Station , Restrooms , TTY , Vending , WIFI , Weather Kiosk ",15,,Central
IA00029IS0007500WTQUICPIC,1970-01-01T00:00:00Z,,,,IA,I-29: Exit 75 Taylor Quik Pik,Missouri Valley,41.550786,-95.912777,PR,,," Bank Debit Card , Discover , MasterCard , Visa , American Express , Full Service Restaurant , Snack / Coffee Bar , Gasoline Available , EFS , Fleet One , TCH , T-Chek , Comdata , Open 24 Hours , Convenience Store , Lighted Parking , Overnight Parking , Paved Parking , Pumps , Parking Spaces , ATM , Pay Phones ",50,51555,Central
IA00035IS0009870NRA98N000,1970-01-01T00:00:00Z,,,,IA,I-35: Elkhart NB Rest Area,Elkhart,41.82925,-93.569768,PU,,," Restrooms , Handicap Accessible , Family Restroom , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , Vending , WIFI , Total Car Parking - 48 ",20,,Central
IA00035IS0009870SRA98S000,1970-01-01T00:00:00Z,,,,IA,I-35: Elkhart SB Rest Area,Elkhart,41.832611,-93.572254,PU,,," Restrooms , Handicap Accessible , Family Restroom , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , Vending , WIFI , Total Car Parking - 48 ",21,,Central
IA00035IS0012000NRA120N00,1970-01-01T00:00:00Z,,,,IA,I-35: Story City NB Rest Area,Story City,42.128251,-93.553802,PU,,," Restrooms , Handicap Accessible , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , RV Dump Station , Vending , WiFi , Total Car Parking - 29 ",16,,Central
IA00035IS0012000SRA120S00,1970-01-01T00:00:00Z,,,,IA,I-35: Story City SB Rest Area,Story City,42.109707,-93.556608,PU,,," Restrooms , Family Restrooms , Handicap Accessible , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , RV Dump Station , Vending , WiFi , Total Car Parking - 30 ",17,,Central
IA00080IS0001900ERA19E000,1970-01-01T00:00:00Z,,,,IA,I-80: Underwood EB Welcome Center,Underwood,41.40174,-95.658743,PU,,," Restrooms , Handicap Accessible , Family Restroom , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , RV Dump Station , Vending , WIFI , Total Car Parking - 26 , Welcome Center Hours - Thurs-Mon: 9am-5pm ",15,,Central
IA00080IS0001900WRA19W000,1970-01-01T00:00:00Z,,,,IA,I-80: Underwood WB Rest Area,Underwood,41.403634,-95.658533,PU,,," Restrooms , Handicap Accessible , Picnic Area , Phone , Pet Exercise Area , TTY , Weather Kiosk , RV Dump Station , Vending , WIFI , Total Car Parking - 28 ",16,,Central
IA00080IS0003200ERA32E000,1970-01-01T00:00:00Z,,,,IA,I-80: Minden EB Parking Only,Minden,41.498398,-95.494367,PU,,," Free Parking , Paved Surface , Total Car Parking - 20 ",5,,Central
IA00080IS0003200WRA32W000,1970-01-01T00:00:00Z,,,,IA,I-80: Minden WB Parking Only,Minden,41.499576,-95.492333,PU,,," Free Parking , Paved Surface , Total Car Parking - 21 ",5,,Central
